Job running on tron01.umiacs.umd.edu
4018
3200
Resumed from epoch 500
Epoch [656/2000], Loss: 0.0278, LR: 0.000131
Epoch [657/2000], Loss: 0.0289, LR: 0.000131
Epoch [658/2000], Loss: 0.0316, LR: 0.000132
Epoch [659/2000], Loss: 0.0284, LR: 0.000132
Epoch [660/2000], Loss: 0.0275, LR: 0.000132
Epoch [661/2000], Loss: 0.0309, LR: 0.000132
Epoch [662/2000], Loss: 0.0297, LR: 0.000132
Epoch [663/2000], Loss: 0.0290, LR: 0.000133
Epoch [664/2000], Loss: 0.0281, LR: 0.000133
Epoch [665/2000], Loss: 0.0286, LR: 0.000133
Epoch [666/2000], Loss: 0.0283, LR: 0.000133
Epoch [667/2000], Loss: 0.0286, LR: 0.000133
Epoch [668/2000], Loss: 0.0279, LR: 0.000134
Epoch [669/2000], Loss: 0.0280, LR: 0.000134
Epoch [670/2000], Loss: 0.0286, LR: 0.000134
Epoch [671/2000], Loss: 0.0296, LR: 0.000134
Epoch [672/2000], Loss: 0.0280, LR: 0.000134
Epoch [673/2000], Loss: 0.0299, LR: 0.000135
Epoch [674/2000], Loss: 0.0351, LR: 0.000135
Epoch [675/2000], Loss: 0.0290, LR: 0.000135
Epoch [676/2000], Loss: 0.0299, LR: 0.000135
Epoch [677/2000], Loss: 0.0290, LR: 0.000135
Epoch [678/2000], Loss: 0.0290, LR: 0.000136
Epoch [679/2000], Loss: 0.0293, LR: 0.000136
Epoch [680/2000], Loss: 0.0281, LR: 0.000136
Epoch [681/2000], Loss: 0.0280, LR: 0.000136
Epoch [682/2000], Loss: 0.0273, LR: 0.000136
Epoch [683/2000], Loss: 0.0288, LR: 0.000137
Epoch [684/2000], Loss: 0.0275, LR: 0.000137
Epoch [685/2000], Loss: 0.0290, LR: 0.000137
Epoch [686/2000], Loss: 0.0273, LR: 0.000137
Epoch [687/2000], Loss: 0.0277, LR: 0.000137
Epoch [688/2000], Loss: 0.0286, LR: 0.000138
Epoch [689/2000], Loss: 0.0265, LR: 0.000138
Epoch [690/2000], Loss: 0.0257, LR: 0.000138
Epoch [691/2000], Loss: 0.0277, LR: 0.000138
Epoch [692/2000], Loss: 0.0289, LR: 0.000138
Epoch [693/2000], Loss: 0.0271, LR: 0.000139
Epoch [694/2000], Loss: 0.0278, LR: 0.000139
Epoch [695/2000], Loss: 0.0284, LR: 0.000139
Epoch [696/2000], Loss: 0.0277, LR: 0.000139
Epoch [697/2000], Loss: 0.0443, LR: 0.000139
Epoch [698/2000], Loss: 0.0328, LR: 0.000140
Epoch [699/2000], Loss: 0.0263, LR: 0.000140
Epoch [700/2000], Loss: 0.0274, LR: 0.000140
Checkpoint saved at epoch 699
Epoch [701/2000], Loss: 0.0277, LR: 0.000140
Epoch [702/2000], Loss: 0.0281, LR: 0.000140
Epoch [703/2000], Loss: 0.0272, LR: 0.000141
Epoch [704/2000], Loss: 0.0285, LR: 0.000141
Epoch [705/2000], Loss: 0.0269, LR: 0.000141
Epoch [706/2000], Loss: 0.0290, LR: 0.000141
Epoch [707/2000], Loss: 0.0262, LR: 0.000141
Epoch [708/2000], Loss: 0.0284, LR: 0.000142
Epoch [709/2000], Loss: 0.0270, LR: 0.000142
Epoch [710/2000], Loss: 0.0266, LR: 0.000142
